loanId|loanAmount|balance|createTime|loanUsage|interestRate
4633359591634109273|60668354.0|60668354.0|2020-03-18 16:42:57.719|vacations|0.064
23080948090273828|2890389.0|2890389.0|2020-03-23 19:03:05.567|debt consolidation|0.097
4640396466051875090|14087331.0|14087331.0|2020-04-12 13:48:43.486|medical expenses|0.089
4643211215818981652|74211921.0|74211921.0|2020-04-22 15:58:41.804|other|0.053
4645181540655956113|29265901.0|29265901.0|2020-04-29 10:25:02.334|debt consolidation|0.098
4646025965586088570|63638796.0|63638796.0|2020-05-02 13:46:09.681|major purchases|0.055
36310271995674626|59918644.0|59918644.0|2020-05-09 14:11:12.092|funerals|0.067
36310271995674689|10211890.0|10211890.0|2020-05-09 21:11:49.05|debt consolidation|0.018
4649966615260037582|32619352.0|32619352.0|2020-05-16 10:13:16.034|renovations|0.064
40813871623045419|14676162.0|14676162.0|2020-05-25 10:20:29.381|medical expenses|0.032
4653344314980565892|93723661.0|93723661.0|2020-05-29 01:57:03.872|other|0.018
4653625789957276512|12459128.0|12459128.0|2020-05-29 07:43:04.492|weddings|0.046
4654188739910697745|78526732.0|78526732.0|2020-05-31 21:09:29.238|medical expenses|0.054
4656159064747672175|7252023.0|7252023.0|2020-06-07 17:50:34.322|education|0.018
45035996273705071|15119848.0|15119848.0|2020-06-09 14:48:23.534|vacations|0.059
4657566439631225257|9276409.0|9276409.0|2020-06-12 06:04:54.142|renovations|0.09
4660662664375042929|64569369.0|64569369.0|2020-06-23 06:31:27.49|funerals|0.066
4660944139351753688|37288459.0|37288459.0|2020-06-24 11:08:51.94|weddings|0.043
4662070039258596121|69236740.0|69236740.0|2020-06-28 14:13:07.824|business ventures|0.013
4666010688932545042|40248524.0|40248524.0|2020-07-12 11:49:16.284|major purchases|0.06
55732045388710292|89706659.0|89706659.0|2020-07-17 22:15:34.628|renovations|0.098
4667699538792809002|73067949.0|73067949.0|2020-07-18 21:47:38.086|other|0.034
4669951338606494288|78098123.0|78098123.0|2020-07-26 18:39:45.836|medical expenses|0.009
4670514288559916031|94379653.0|94379653.0|2020-07-29 04:11:04.238|major purchases|0.031
4671640188466758485|37847602.0|37847602.0|2020-08-01 11:23:39.104|weddings|0.003
60798594969501870|31815473.0|31815473.0|2020-08-05 02:30:06.195|medical expenses|0.05
4673047563350311928|56949933.0|56949933.0|2020-08-07 04:14:02.532|renovations|0.029
4673891988280443769|16027535.0|16027535.0|2020-08-09 08:29:15.97|renovations|0.015
4675017888187285518|61942901.0|61942901.0|2020-08-13 15:44:55.928|investing|0.056
4675299363163997016|20133439.0|20133439.0|2020-08-14 15:15:54.475|business ventures|0.1
4679802962791367476|59757062.0|59757062.0|2020-08-31 05:09:15.294|debt consolidation|0.073
68398419340689866|59300095.0|59300095.0|2020-08-31 07:19:51.388|vacations|0.064
4680365912744788603|53782304.0|53782304.0|2020-09-01 17:21:49.202|major purchases|0.071
68679894317400480|76283940.0|76283940.0|2020-09-01 22:14:26.702|business ventures|0.024
4680928862698210320|21463712.0|21463712.0|2020-09-04 05:10:40.42|other|0.049
4684025087442027461|40300754.0|40300754.0|2020-09-15 05:20:41.014|education|0.01
4684306562418738149|51354805.0|51354805.0|2020-09-15 10:15:31.794|business ventures|0.062
74027918874902872|63141546.0|63141546.0|2020-09-20 13:04:18.093|renovations|0.016
4686276887255712451|97842756.0|97842756.0|2020-09-22 09:10:45.367|business ventures|0.033
75153818781745396|52784626.0|52784626.0|2020-09-24 05:56:46.615|business ventures|0.015
4688528687069397066|66440179.0|66440179.0|2020-10-01 01:00:48.946|weddings|0.065
4688810162046108108|48739120.0|48739120.0|2020-10-01 20:14:01.162|education|0.071
4688810162046108071|57407578.0|57407578.0|2020-10-02 03:54:52.627|debt consolidation|0.012
4689091637022818664|57477934.0|57477934.0|2020-10-02 09:40:40.806|vacations|0.074
4689091637022818971|39829451.0|39829451.0|2020-10-03 05:24:14.93|weddings|0.039
79375943432405289|75859178.0|75859178.0|2020-10-09 06:32:50.263|funerals|0.005
4691061961859793738|66738704.0|66738704.0|2020-10-09 18:54:43.551|funerals|0.053
4691061961859793536|69942336.0|69942336.0|2020-10-09 20:19:28.12|business ventures|0.011
80220368362537080|54859833.0|54859833.0|2020-10-13 02:53:49.522|debt consolidation|0.051
80783318315958770|11438101.0|11438101.0|2020-10-15 04:46:02.963|debt consolidation|0.046
4692750811720056896|34067541.0|34067541.0|2020-10-15 07:29:42.786|business ventures|0.011
4693313761673478373|15788437.0|15788437.0|2020-10-17 08:44:07.446|vacations|0.027
4693313761673478734|915387.0|915387.0|2020-10-17 21:10:12.302|weddings|0.059
82190693199511616|34067541.0|34067541.0|2020-10-20 02:47:17.172|business ventures|0.011
83598068083065056|45038309.0|45038309.0|2020-10-25 05:47:32.152|debt consolidation|0.063
4696972936370717611|27215515.0|27215515.0|2020-10-30 10:08:23.578|vacations|0.035
4696972936370717621|59274159.0|59274159.0|2020-10-31 01:22:55.962|business ventures|0.023
4700069161114533966|97671963.0|97671963.0|2020-11-10 11:21:13.788|vacations|0.093
4701476535998087259|84396897.0|84396897.0|2020-11-15 12:09:39.836|debt consolidation|0.049
90353467524120648|39583576.0|39583576.0|2020-11-17 13:07:56.933|business ventures|0.066
90634942500831358|39574815.0|39574815.0|2020-11-18 14:21:26.009|education|0.015
90634942500831702|20268776.0|20268776.0|2020-11-19 06:20:05.068|medical expenses|0.023
91479367430963656|17095283.0|17095283.0|2020-11-21 13:45:56.66|medical expenses|0.091
4703446860835062334|34667985.0|34667985.0|2020-11-22 23:22:10.234|other|0.031
4705417185672037061|36036482.0|36036482.0|2020-11-29 15:54:07.582|weddings|0.021
95138542128201763|42334597.0|42334597.0|2020-12-05 07:14:58.238|renovations|0.003
4707106035532300647|59333201.0|59333201.0|2020-12-06 03:23:09.265|education|0.025
97953291895308769|24537790.0|24537790.0|2020-12-15 07:37:45.901|education|0.058
98516241848729892|40513823.0|40513823.0|2020-12-16 13:27:41.168|other|0.09
4710765210229539473|77485664.0|77485664.0|2020-12-18 10:21:26.324|medical expenses|0.086
4710765210229539731|84406380.0|84406380.0|2020-12-18 21:34:58.7|business ventures|0.003
4710765210229539235|6736719.0|6736719.0|2020-12-19 01:29:19.835|debt consolidation|0.055
4711328160182960419|88500247.0|88500247.0|2020-12-21 01:26:09.989|vacations|0.041
4712454060089803230|2696119.0|2696119.0|2020-12-25 05:19:17.978|weddings|0.05
4712735535066514112|88901978.0|88901978.0|2020-12-25 12:46:21.703|vacations|0.013
4712735535066513677|85970377.0|85970377.0|2020-12-25 23:13:24.062|renovations|0.081
4713017010043224709|38185509.0|38185509.0|2020-12-26 14:59:59.186|medical expenses|0.099
4714142909950067754|81849250.0|81849250.0|2020-12-30 19:05:11.685|medical expenses|0.047
4714142909950067477|67660224.0|67660224.0|2020-12-30 22:58:37.558|business ventures|0.045
103582791429521891|52546201.0|52546201.0|2021-01-03 18:29:54.246|renovations|0.024
4715268809856909330|88681517.0|88681517.0|2021-01-04 01:18:04.245|other|0.006
105553116266496079|63364835.0|63364835.0|2021-01-10 23:00:27.759|debt consolidation|0.097
4717520609670595621|56426217.0|56426217.0|2021-01-11 11:53:47.173|education|0.07
4717520609670595498|3766242.0|3766242.0|2021-01-12 02:38:19.366|medical expenses|0.036
4718365034600727057|94758716.0|94758716.0|2021-01-14 10:09:27.391|funerals|0.081
4718365034600726567|49746907.0|49746907.0|2021-01-14 13:46:15.773|funerals|0.076
4718646509577437751|50278989.0|50278989.0|2021-01-15 19:25:18.665|weddings|0.017
106960491150049485|38246963.0|38246963.0|2021-01-16 01:25:52.318|major purchases|0.079
107241966126760161|81652873.0|81652873.0|2021-01-17 02:59:45.411|business ventures|0.041
4720335359437701636|33002360.0|33002360.0|2021-01-21 17:53:52.503|funerals|0.031
108930815987024185|37651186.0|37651186.0|2021-01-22 19:41:00.196|other|0.089
4721179784367833109|42447940.0|42447940.0|2021-01-24 19:12:08.259|major purchases|0.058
4721461259344543994|31515183.0|31515183.0|2021-01-25 17:51:51.638|business ventures|0.02
4721461259344544632|28010197.0|28010197.0|2021-01-25 23:04:36.715|education|0.048
4722305684274676248|52136151.0|52136151.0|2021-01-28 20:45:01.673|business ventures|0.094
111745565754130837|46599755.0|46599755.0|2021-02-01 12:04:48.086|other|0.077
4723713059158229004|50563675.0|50563675.0|2021-02-03 05:35:12.057|renovations|0.04
4723994534134940037|1091415.0|1091415.0|2021-02-03 11:40:16.269|renovations|0.026
4723994534134939940|40513823.0|40513823.0|2021-02-04 06:23:53.752|other|0.09
4724276009111650383|63364835.0|63364835.0|2021-02-05 05:55:59.115|debt consolidation|0.097
4724557484088361048|60359871.0|60359871.0|2021-02-06 06:10:46.056|debt consolidation|0.004
113434415614394713|64636394.0|64636394.0|2021-02-07 13:22:26.722|medical expenses|0.066
4725120434041782850|85049429.0|85049429.0|2021-02-07 21:18:17.575|funerals|0.013
4725683383995204353|48021008.0|48021008.0|2021-02-09 20:15:13.486|weddings|0.037
114278840544526394|82022774.0|82022774.0|2021-02-10 17:33:19.85|education|0.01
114841790497947769|53133825.0|53133825.0|2021-02-12 18:35:35.066|debt consolidation|0.073
4727090758878757734|70151551.0|70151551.0|2021-02-14 09:27:57.504|business ventures|0.04
4727372233855468382|33455767.0|33455767.0|2021-02-16 08:57:46.422|business ventures|0.018
115967690404790734|32619352.0|32619352.0|2021-02-16 13:39:36.089|renovations|0.064
116530640358211722|22253729.0|22253729.0|2021-02-18 15:36:55.405|other|0.05
116812115334922646|56799549.0|56799549.0|2021-02-20 03:56:43.384|other|0.05
117093590311633406|76445691.0|76445691.0|2021-02-20 18:07:46.574|medical expenses|0.004
4729342558692442706|17125700.0|17125700.0|2021-02-22 18:36:25.032|funerals|0.036
117656540265054556|14555484.0|14555484.0|2021-02-22 19:59:13.325|debt consolidation|0.062
4729624033669153653|97562900.0|97562900.0|2021-02-23 16:35:43.85|other|0.081
4730186983622574618|59174571.0|59174571.0|2021-02-25 15:55:19.639|other|0.009
119626865102029322|53690874.0|53690874.0|2021-03-01 10:34:58.834|investing|0.047
4731312883529417347|81906261.0|81906261.0|2021-03-02 00:29:03.526|weddings|0.089
119908340078739726|92439382.0|92439382.0|2021-03-02 12:49:12.03|business ventures|0.036
4731875833482839015|64005348.0|64005348.0|2021-03-03 16:18:41.25|weddings|0.01
121315714962293031|2292830.0|2292830.0|2021-03-08 04:25:16.928|medical expenses|0.016
4733283208366392279|96041707.0|96041707.0|2021-03-08 15:59:37.086|vacations|0.001
4733283208366392088|84346299.0|84346299.0|2021-03-08 21:49:26.414|debt consolidation|0.069
121597189939003568|32395462.0|32395462.0|2021-03-09 09:24:45.893|weddings|0.076
4733846158319813199|69343011.0|69343011.0|2021-03-10 11:52:37.662|major purchases|0.04
4733846158319813619|12300590.0|12300590.0|2021-03-10 18:22:55.979|education|0.088
122723089845846047|80018445.0|80018445.0|2021-03-12 22:05:33.921|medical expenses|0.017
4734690583249944680|36633231.0|36633231.0|2021-03-13 18:36:07.829|business ventures|0.062
123286039799267808|1952224.0|1952224.0|2021-03-14 10:11:42.925|weddings|0.035
4735253533203366537|19557030.0|19557030.0|2021-03-15 15:19:14.338|education|0.03
124130464729399790|92439756.0|92439756.0|2021-03-18 01:49:07.816|medical expenses|0.042
4736097958133498558|87911714.0|87911714.0|2021-03-18 14:35:11.056|investing|0.062
4737223858040341334|12024961.0|12024961.0|2021-03-23 09:33:01.603|investing|0.006
4737505333017052027|39258871.0|39258871.0|2021-03-24 08:22:50.216|vacations|0.052
4737786807993762195|16706627.0|16706627.0|2021-03-25 07:46:46.996|education|0.014
4738068282970473216|67306341.0|67306341.0|2021-03-25 17:48:38.454|medical expenses|0.016
4738349757947184157|80027775.0|80027775.0|2021-03-26 13:50:38.634|medical expenses|0.047
4738349757947183746|55176655.0|55176655.0|2021-03-26 21:30:41.855|other|0.073
4738631232923894711|39072952.0|39072952.0|2021-03-28 02:49:23.581|education|0.068
4738912707900604972|89451114.0|89451114.0|2021-03-28 18:41:39.089|debt consolidation|0.072
4738912707900605186|72719006.0|72719006.0|2021-03-29 05:01:55.842|medical expenses|0.057
4739194182877315770|15896935.0|15896935.0|2021-03-29 14:07:41.41|medical expenses|0.1
127508164449927417|56883693.0|56883693.0|2021-03-29 20:21:52.9|medical expenses|0.073
128352589380059534|15491601.0|15491601.0|2021-04-02 02:31:20.528|funerals|0.097
129197014310191405|95824713.0|95824713.0|2021-04-05 08:30:40.118|other|0.048
4741164507714290438|58753069.0|58753069.0|2021-04-06 00:25:56.676|business ventures|0.055
4741445982691000944|57461668.0|57461668.0|2021-04-06 14:53:56.568|medical expenses|0.018
4742008932644422564|481505.0|481505.0|2021-04-09 01:08:17.748|funerals|0.032
130604389193744622|443548.0|443548.0|2021-04-09 16:08:26.956|debt consolidation|0.014
4742290407621133072|14630969.0|14630969.0|2021-04-10 01:20:47.436|renovations|0.01
130885864170455197|80124393.0|80124393.0|2021-04-11 03:13:24.557|vacations|0.01
4742853357574554555|74766503.0|74766503.0|2021-04-11 19:01:54.223|weddings|0.035
131167339147165703|665546.0|665546.0|2021-04-11 20:18:45.51|medical expenses|0.072
4743134832551264590|22494493.0|22494493.0|2021-04-13 08:07:47.915|business ventures|0.09
4743416307527975921|60956517.0|60956517.0|2021-04-13 20:44:18.414|renovations|0.007
4743697782504685785|91229034.0|91229034.0|2021-04-15 08:08:54.422|medical expenses|0.044
132574714030719460|7934593.0|7934593.0|2021-04-16 21:29:22.591|renovations|0.019
132574714030719495|87693356.0|87693356.0|2021-04-16 23:32:22.476|debt consolidation|0.063
132574714030719159|62133329.0|62133329.0|2021-04-17 07:11:03.857|renovations|0.097
4745105157388239740|71487599.0|71487599.0|2021-04-20 04:56:30.505|weddings|0.052
133700613937561829|15788437.0|15788437.0|2021-04-21 02:47:58.497|vacations|0.027
134545038867693805|17610996.0|17610996.0|2021-04-23 18:40:53.842|renovations|0.098
4746512532271792918|78456020.0|78456020.0|2021-04-25 04:10:55.083|business ventures|0.072
4746794007248503835|62359598.0|62359598.0|2021-04-25 17:02:08.932|major purchases|0.005
4747638432178635565|2829840.0|2829840.0|2021-04-28 10:55:23.316|renovations|0.076
4747638432178635076|25291639.0|25291639.0|2021-04-29 07:18:17.769|vacations|0.035
4748764332085477674|60655234.0|60655234.0|2021-05-03 05:11:39.133|renovations|0.06
4749045807062188469|80149810.0|80149810.0|2021-05-03 22:21:47.278|major purchases|0.075
4749608757015609405|93475682.0|93475682.0|2021-05-05 13:17:38.127|vacations|0.007
4750453181945741316|96311923.0|96311923.0|2021-05-08 13:27:25.273|renovations|0.064
139048638495064578|67894489.0|67894489.0|2021-05-10 04:31:18.677|vacations|0.065
4751016131899163317|14738182.0|14738182.0|2021-05-10 22:51:29.652|investing|0.022
140174538401906852|9276016.0|9276016.0|2021-05-13 21:49:42.433|funerals|0.089
4752142031806005553|67624958.0|67624958.0|2021-05-15 02:58:44.538|vacations|0.073
140456013378617524|43537557.0|43537557.0|2021-05-15 06:18:38.549|renovations|0.017
4752704981759426721|77724682.0|77724682.0|2021-05-16 12:51:44.951|weddings|0.021
141300438308749773|34059951.0|34059951.0|2021-05-17 18:21:26.193|other|0.022
4753267931712847888|91178521.0|91178521.0|2021-05-18 15:03:12.782|investing|0.089
4753267931712848930|3345060.0|3345060.0|2021-05-18 20:00:04.982|major purchases|0.091
4753549406689559561|96627685.0|96627685.0|2021-05-19 16:09:23.203|medical expenses|0.005
4753549406689559038|76445691.0|76445691.0|2021-05-20 10:39:39.272|medical expenses|0.004
142144863238881438|37781681.0|37781681.0|2021-05-20 13:47:22.771|renovations|0.008
142426338215592051|75602932.0|75602932.0|2021-05-21 19:09:28.016|debt consolidation|0.075
4754112356642980207|81291733.0|81291733.0|2021-05-22 10:34:39.946|weddings|0.043
4754393831619690533|17506844.0|17506844.0|2021-05-22 15:26:40.623|vacations|0.078
4754675306596402214|76804149.0|76804149.0|2021-05-24 10:01:56.84|medical expenses|0.049
142989288169013602|802429.0|802429.0|2021-05-24 10:17:24.468|debt consolidation|0.056
4754956781573112743|41714261.0|41714261.0|2021-05-25 07:01:31.892|debt consolidation|0.07
4755238256549823041|28962929.0|28962929.0|2021-05-25 15:36:04.958|funerals|0.0
143552238122434576|91178521.0|91178521.0|2021-05-25 22:44:11.705|investing|0.089
4755238256549823354|9996283.0|9996283.0|2021-05-25 23:03:37.452|business ventures|0.02
4755238256549823072|1970713.0|1970713.0|2021-05-25 23:09:49.415|vacations|0.028
4755519731526533452|20833832.0|20833832.0|2021-05-27 03:05:09.322|education|0.078
4755801206503244591|93504316.0|93504316.0|2021-05-27 13:45:20.312|vacations|0.003
4755801206503244743|75184437.0|75184437.0|2021-05-28 04:58:18.033|medical expenses|0.053
144115188075856122|31515183.0|31515183.0|2021-05-28 09:29:07.142|business ventures|0.02
4756082681479954537|97733319.0|97733319.0|2021-05-29 03:35:04.721|debt consolidation|0.013
4756645631433376688|35988093.0|35988093.0|2021-05-30 21:24:15.316|debt consolidation|0.012
4756927106410087251|84364183.0|84364183.0|2021-05-31 16:24:27.637|medical expenses|0.082
4758334481293639762|29468293.0|29468293.0|2021-06-05 11:45:16.578|investing|0.022
4758334481293639735|3461848.0|3461848.0|2021-06-05 14:22:58.071|medical expenses|0.02
4758897431247061529|25192294.0|25192294.0|2021-06-07 17:36:31.295|major purchases|0.099
147211412819673200|82030427.0|82030427.0|2021-06-08 00:28:26.395|medical expenses|0.036
4758897431247061033|2221031.0|2221031.0|2021-06-08 04:20:03.731|medical expenses|0.023
4758897431247061382|49963254.0|49963254.0|2021-06-08 05:04:16.427|debt consolidation|0.011
4759460381200482394|23347630.0|23347630.0|2021-06-09 22:22:07.454|business ventures|0.001
4760023331153903643|48751444.0|48751444.0|2021-06-12 00:03:36.848|renovations|0.041
148618787703226684|70938646.0|70938646.0|2021-06-12 19:08:44.074|education|0.078
4760304806130615045|5780986.0|5780986.0|2021-06-13 10:06:45.752|vacations|0.089
148900262679937341|19330863.0|19330863.0|2021-06-14 11:22:27.074|vacations|0.042
4761430706037457150|19271814.0|19271814.0|2021-06-16 18:58:49.679|vacations|0.075
4761712181014168233|5397252.0|5397252.0|2021-06-17 14:39:06.161|funerals|0.027
150026162586780165|61295522.0|61295522.0|2021-06-17 18:54:09.313|vacations|0.022
150589112540201044|48744758.0|48744758.0|2021-06-19 21:32:55.949|debt consolidation|0.089
4762838080921010942|30955516.0|30955516.0|2021-06-22 04:16:20.702|major purchases|0.069
151715012447043814|20516230.0|20516230.0|2021-06-23 13:48:56.151|other|0.051
151715012447043776|7946777.0|7946777.0|2021-06-23 23:09:27.149|funerals|0.05
151996487423754476|97177295.0|97177295.0|2021-06-24 20:42:54.637|other|0.074
151996487423754598|4098883.0|4098883.0|2021-06-24 23:47:08.586|investing|0.025
4763682505851142819|76129624.0|76129624.0|2021-06-25 03:10:58.119|business ventures|0.02
152277962400465411|25771155.0|25771155.0|2021-06-25 22:41:57.655|investing|0.096
4763963980827853039|686863.0|686863.0|2021-06-26 08:04:59.543|renovations|0.018
4764245455804563728|99545891.0|99545891.0|2021-06-26 17:33:18.238|weddings|0.036
152559437377175632|16504764.0|16504764.0|2021-06-26 21:30:02.161|other|0.035
4764526930781275154|29302565.0|29302565.0|2021-06-27 21:20:36.583|business ventures|0.009
4764808405757985710|84457196.0|84457196.0|2021-06-29 10:27:00.156|weddings|0.042
4765371355711406186|86065030.0|86065030.0|2021-06-30 17:17:53.898|investing|0.025
153966812260729137|67624958.0|67624958.0|2021-07-01 14:27:04.216|vacations|0.073
154248287237439494|88059011.0|88059011.0|2021-07-03 03:23:52.931|renovations|0.065
154248287237439683|60361184.0|60361184.0|2021-07-03 04:40:39.701|major purchases|0.02
154811237190860873|71555310.0|71555310.0|2021-07-04 17:13:31.568|vacations|0.046
4766497255618248755|73975802.0|73975802.0|2021-07-04 21:32:42.867|other|0.048
4767060205571671001|95716786.0|95716786.0|2021-07-06 19:08:43.737|debt consolidation|0.028
155655662120993139|62296130.0|62296130.0|2021-07-07 12:34:02.124|education|0.026
4767341680548380675|59918496.0|59918496.0|2021-07-07 14:33:20.88|funerals|0.063
156500087051125024|13654151.0|13654151.0|2021-07-10 23:44:06.544|business ventures|0.025
156500087051124936|61752333.0|61752333.0|2021-07-11 07:57:21.824|education|0.01
156781562027835861|61060024.0|61060024.0|2021-07-11 13:48:41.458|weddings|0.055
156781562027835893|39898139.0|39898139.0|2021-07-11 18:12:34.373|weddings|0.026
4768467580455223344|56890992.0|56890992.0|2021-07-12 02:20:37.482|vacations|0.013
157344511981257149|13121231.0|13121231.0|2021-07-14 01:22:50.735|vacations|0.027
157625986957967815|93006051.0|93006051.0|2021-07-14 17:55:12.38|vacations|0.038
157625986957967698|78813697.0|78813697.0|2021-07-14 19:57:02.22|funerals|0.016
4769312005385355896|87652542.0|87652542.0|2021-07-15 03:19:14.239|major purchases|0.014
4769593480362066036|25743642.0|25743642.0|2021-07-16 02:46:38.481|other|0.07
157907461934678459|33060000.0|33060000.0|2021-07-16 07:46:05.77|other|0.048
4769874955338776994|661188.0|661188.0|2021-07-16 23:35:16.631|business ventures|0.084
4770156430315487356|36129718.0|36129718.0|2021-07-17 20:11:10.383|vacations|0.096
158751886864810311|40623578.0|40623578.0|2021-07-18 14:39:41.588|business ventures|0.058
158751886864810288|96646329.0|96646329.0|2021-07-18 18:32:33.752|funerals|0.083
4770719380268909542|70797001.0|70797001.0|2021-07-19 13:18:52.743|vacations|0.058
159033361841520830|90388677.0|90388677.0|2021-07-20 04:29:47.685|other|0.025
4771000855245619841|15299608.0|15299608.0|2021-07-20 21:49:02.895|medical expenses|0.035
159596311794942343|44202572.0|44202572.0|2021-07-21 16:25:25.51|weddings|0.053
4772689705105883476|88858880.0|88858880.0|2021-07-26 16:03:51.582|renovations|0.044
4772971180082594570|92760087.0|92760087.0|2021-07-28 10:19:20.243|funerals|0.016
161848111608627660|48739120.0|48739120.0|2021-07-29 14:05:25.465|education|0.071
4773534130036016128|76112920.0|76112920.0|2021-07-30 12:30:34.673|major purchases|0.024
4774378554966147686|8804431.0|8804431.0|2021-08-01 15:29:58.821|weddings|0.037
4775222979896279082|22670585.0|22670585.0|2021-08-04 17:39:27.255|education|0.063
4775785929849700365|80837517.0|80837517.0|2021-08-06 15:30:06.19|renovations|0.096
164099911422312517|46000871.0|46000871.0|2021-08-06 21:19:02.743|business ventures|0.071
164381386399023298|37071294.0|37071294.0|2021-08-07 18:43:54.322|business ventures|0.073
4776348879803121745|74108033.0|74108033.0|2021-08-08 19:08:49.848|education|0.014
