mediumId|mediumType|isBlocked|createTime|lastLoginTime|riskLevel
356|PHONE|false|2020-01-01 13:44:29.852|1656275376736|Moderate risk
367|NFC|false|2020-01-03 20:28:17.097|1594313070020|Very high risk
474|IPv4|false|2020-01-05 06:19:10.597|1605429285431|Significant risk
639|MAC|false|2020-01-08 15:52:00.043|1624823652986|Low risk
440|ATM|false|2020-01-11 14:47:44.237|1628752284418|Critical risk
928|IPv4|false|2020-01-12 15:14:36.754|1622465642701|Low risk
397|IPv4|false|2020-01-12 23:46:57.958|1630090378712|Severe risk
240|RFID|false|2020-01-14 09:41:01.037|1609201824732|Extreme risk
884|MAC|false|2020-01-14 12:45:03.753|1619778000072|High risk
633|ATM|false|2020-01-15 11:43:41.691|1598911939263|High risk
159|QRCode|true|2020-01-16 01:29:15.046|1653763787182|Critical risk
467|POS|false|2020-01-17 00:02:19.569|1593075100481|Moderate risk
648|RFID|false|2020-01-17 01:18:06.459|1592174106206|Severe risk
182|WIFI|false|2020-01-18 01:09:55.577|1651467931555|High risk
904|QRCode|false|2020-01-18 14:27:15.782|1670953984142|High risk
568|IPv6|false|2020-01-20 19:52:09.681|1603068510003|Severe risk
897|IPv6|false|2020-01-21 18:11:38.194|1638500395186|Very high risk
184|WIFI|false|2020-01-24 04:09:21.307|1606397218224|Moderate risk
20|QRCode|false|2020-01-26 01:04:09.683|1591665115007|Extreme risk
582|QRCode|false|2020-01-26 03:09:39.154|1658415008593|Moderate risk
573|NFC|false|2020-01-26 19:41:19.446|1667061633680|Significant risk
699|PHONE|false|2020-01-28 02:25:03.88|1635878385301|Significant risk
318|RFID|false|2020-01-29 02:39:08.167|1591893964389|High risk
282|WIFI|true|2020-01-29 07:23:13.702|1643305579682|Severe risk
95|QRCode|true|2020-01-30 20:58:52.11|1667824691327|High risk
630|PHONE|false|2020-01-31 13:09:56.582|1632232210975|Low risk
344|NFC|true|2020-01-31 13:31:33.795|1640017947480|Critical risk
772|IPv6|false|2020-02-01 00:18:40.461|1604230592763|Very high risk
758|NFC|false|2020-02-01 03:33:01.857|1593787106810|Severe risk
675|POS|false|2020-02-01 07:23:09.956|1621021821851|Very high risk
640|QRCode|false|2020-02-02 07:21:53.064|1616345097225|Low risk
236|QRCode|false|2020-02-02 08:00:59.429|1658045755184|Critical risk
986|NFC|false|2020-02-02 18:04:07.827|1623072845426|Critical risk
804|WIFI|false|2020-02-03 06:04:49.95|1618907333017|Extreme risk
294|ATM|false|2020-02-03 13:27:17.474|1658303107169|Significant risk
481|QRCode|false|2020-02-05 15:54:19.967|1623672421020|Minimal risk
530|POS|false|2020-02-06 05:51:04.454|1624551951295|Moderate risk
576|IPv4|false|2020-02-06 13:24:45.983|1592980606761|Severe risk
946|QRCode|false|2020-02-08 21:24:06.856|1662999179220|Critical risk
134|NFC|false|2020-02-11 04:08:59.488|1621603008679|High risk
189|MAC|false|2020-02-11 07:39:27.654|1629190568093|Low risk
0|WIFI|false|2020-02-14 01:42:00.946|1634539431777|Low risk
768|PHONE|false|2020-02-14 17:06:48.618|1658299076260|Significant risk
413|POS|false|2020-02-15 01:52:36.083|1636728519902|High risk
700|IPv6|false|2020-02-15 03:42:34.639|1654183144542|Very high risk
219|ATM|false|2020-02-15 14:35:33.709|1602273166355|Very high risk
93|QRCode|false|2020-02-19 15:55:49.302|1653000936824|High risk
456|ATM|false|2020-02-19 19:28:04.406|1657812493342|Critical risk
96|IPv4|false|2020-02-20 00:38:03.697|1670318412818|Minimal risk
703|ATM|false|2020-02-23 17:57:06.224|1631495429205|Critical risk
127|QRCode|false|2020-02-24 04:10:16.797|1645677901381|Extreme risk
207|ATM|false|2020-02-25 01:21:32.332|1615213758260|Moderate risk
868|IPv4|false|2020-02-25 23:48:27.88|1596066599165|Low risk
502|WIFI|false|2020-02-26 21:50:10.195|1622175581146|Low risk
423|RFID|false|2020-02-27 14:49:06.725|1587118203061|Significant risk
645|RFID|false|2020-02-29 04:29:26.771|1615372813128|Minimal risk
170|ATM|false|2020-03-04 08:02:49.994|1645785747888|Minimal risk
323|PHONE|false|2020-03-05 05:32:38.026|1634189621373|Moderate risk
477|RFID|false|2020-03-07 11:32:17.4|1630844704175|Extreme risk
719|IPv6|false|2020-03-10 19:36:36.977|1630327603584|Extreme risk
13|RFID|true|2020-03-10 20:32:37.353|1661940289236|Significant risk
847|IPv4|false|2020-03-11 10:03:39.383|1648506055913|Very high risk
547|MAC|false|2020-03-16 14:07:38.104|1589566063692|Significant risk
4398046511418|NFC|false|2020-03-16 23:17:16.53|1590460343552|Critical risk
4398046511382|MAC|false|2020-03-18 15:03:39.028|1626134340657|Minimal risk
4398046511457|MAC|false|2020-03-19 06:24:41.866|1586570532236|Minimal risk
4398046511253|MAC|false|2020-03-19 22:09:50.339|1645947898077|Critical risk
4398046511185|PHONE|false|2020-03-20 07:35:39.248|1605393185455|Extreme risk
4398046511163|IPv6|false|2020-03-22 05:40:01.914|1603128898539|Low risk
4398046511945|NFC|false|2020-03-23 02:00:01.472|1615931280479|Low risk
4398046511189|PHONE|false|2020-03-23 04:10:21.535|1602246061383|Very high risk
4398046512065|NFC|false|2020-03-23 18:31:59.167|1594700068724|Critical risk
4398046511990|POS|false|2020-03-23 19:59:19.237|1650803225478|Critical risk
4398046511514|ATM|false|2020-03-24 18:21:11.121|1653965731743|Moderate risk
4398046512079|PHONE|false|2020-03-25 10:21:17.658|1648069302022|Significant risk
4398046511761|ATM|false|2020-03-26 15:39:21.562|1616731349810|Critical risk
4398046511605|IPv6|false|2020-04-04 13:52:43.67|1628337531708|High risk
4398046511423|POS|false|2020-04-04 20:00:15.743|1608084101667|Minimal risk
4398046512048|QRCode|false|2020-04-07 02:53:59.901|1634006544686|Minimal risk
4398046511421|PHONE|false|2020-04-07 05:04:11.839|1639784968149|Minimal risk
4398046511621|ATM|false|2020-04-07 11:01:23.7|1601737480341|Critical risk
4398046512102|IPv6|false|2020-04-07 16:06:37.792|1598055728990|Significant risk
4398046511955|IPv4|false|2020-04-07 18:03:06.85|1671280899980|Very high risk
4398046511663|NFC|false|2020-04-11 08:05:56.895|1653705901257|Extreme risk
4398046511687|RFID|false|2020-04-16 23:45:58.841|1590961228256|Moderate risk
4398046511610|MAC|false|2020-04-18 01:23:13.608|1647534963490|Very high risk
4398046511740|WIFI|false|2020-04-18 09:56:58.026|1667440611573|Extreme risk
4398046511894|MAC|false|2020-04-19 08:20:35.233|1604293969088|Moderate risk
4398046511334|MAC|false|2020-04-19 17:52:34.915|1589978579352|Extreme risk
4398046511237|MAC|false|2020-04-19 19:21:57.985|1628987423988|Severe risk
4398046511343|PHONE|false|2020-04-21 14:16:22.99|1628326164232|High risk
4398046511360|PHONE|false|2020-04-21 16:48:38.164|1662603027703|Severe risk
4398046511861|NFC|false|2020-04-23 17:23:01.571|1656792816247|High risk
4398046511589|PHONE|false|2020-04-24 07:53:55.759|1652000739078|Critical risk
4398046511463|NFC|false|2020-04-25 23:39:44.358|1666210657697|Critical risk
4398046511625|RFID|false|2020-04-26 22:08:28.392|1648170262211|Significant risk
4398046511715|ATM|false|2020-04-27 05:15:38.276|1621779739658|Significant risk
4398046511261|IPv6|false|2020-04-28 11:43:58.743|1658133300527|Critical risk
4398046511415|ATM|false|2020-04-28 17:02:48.973|1627290320831|Low risk
4398046511436|PHONE|false|2020-04-29 12:41:26.696|1640092330724|Low risk
4398046511913|POS|false|2020-04-29 13:11:40|1620239222761|High risk
4398046511296|POS|false|2020-04-30 03:58:36.735|1643250729642|Extreme risk
