personId|loanId|createTime|org
636|4633359591634109273|2020-03-18 16:42:57.719|Avant
187|4640396466051875090|2020-04-12 13:48:43.486|BlueVine
2199023255742|4643211215818981652|2020-04-22 15:58:41.804|BlueVine
93|4645181540655956113|2020-04-29 10:25:02.334|Discover
2199023256030|4646025965586088570|2020-05-02 13:46:09.681|Citibank
2199023255900|4649966615260037582|2020-05-16 10:13:16.034|PNC Bank
668|4653344314980565892|2020-05-29 01:57:03.872|LendingClub
642|4653625789957276512|2020-05-29 07:43:04.492|Chase Bank
2199023256128|4654188739910697745|2020-05-31 21:09:29.238|Upgrade
2199023256011|4656159064747672175|2020-06-07 17:50:34.322|SoFi
310|4657566439631225257|2020-06-12 06:04:54.142|Roofstock
2199023256210|4660662664375042929|2020-06-23 06:31:27.49|RealtyMogul
743|4660944139351753688|2020-06-24 11:08:51.94|LendingPoint
2199023256133|4662070039258596121|2020-06-28 14:13:07.824|Earnest
4398046511504|4666010688932545042|2020-07-12 11:49:16.284|Patch of Land
4398046511519|4667699538792809002|2020-07-18 21:47:38.086|Wells Fargo
433|4669951338606494288|2020-07-26 18:39:45.836|Marcus by Goldman Sachs
4398046511865|4670514288559916031|2020-07-29 04:11:04.238|Best Egg
630|4671640188466758485|2020-08-01 11:23:39.104|Funding Circle
2199023256309|4673047563350311928|2020-08-07 04:14:02.532|Marcus by Goldman Sachs
2199023256212|4673891988280443769|2020-08-09 08:29:15.97|SoFi
4398046511111|4675017888187285518|2020-08-13 15:44:55.928|Best Egg
636|4675299363163997016|2020-08-14 15:15:54.475|Marcus by Goldman Sachs
601|4679802962791367476|2020-08-31 05:09:15.294|Chase Bank
2199023256030|4680365912744788603|2020-09-01 17:21:49.202|OnDeck
4398046511878|4680928862698210320|2020-09-04 05:10:40.42|Patch of Land
4398046511829|4684025087442027461|2020-09-15 05:20:41.014|Roofstock
2199023256301|4684306562418738149|2020-09-15 10:15:31.794|Earnest
6597069767178|4686276887255712451|2020-09-22 09:10:45.367|Kabbage
4398046511149|4688528687069397066|2020-10-01 01:00:48.946|LightStream
2199023255900|4688810162046108108|2020-10-01 20:14:01.162|Bank of America
4398046511409|4688810162046108071|2020-10-02 03:54:52.627|Citibank
250|4689091637022818664|2020-10-02 09:40:40.806|Fundbox
497|4689091637022818971|2020-10-03 05:24:14.93|RealtyMogul
4398046511722|4691061961859793738|2020-10-09 18:54:43.551|Chase Bank
4398046511588|4691061961859793536|2020-10-09 20:19:28.12|Rocket Loans
41|4692750811720056896|2020-10-15 07:29:42.786|Upstart
4398046511258|4693313761673478373|2020-10-17 08:44:07.446|SoFi
433|4693313761673478734|2020-10-17 21:10:12.302|Earnest
6597069767360|4696972936370717611|2020-10-30 10:08:23.578|Chase Bank
2199023256262|4696972936370717621|2020-10-31 01:22:55.962|Fundrise
50|4700069161114533966|2020-11-10 11:21:13.788|Citibank
2199023255607|4701476535998087259|2020-11-15 12:09:39.836|Earnest
426|4703446860835062334|2020-11-22 23:22:10.234|American Express
4398046511629|4705417185672037061|2020-11-29 15:54:07.582|PNC Bank
250|4707106035532300647|2020-12-06 03:23:09.265|Prosper
8796093022698|4710765210229539473|2020-12-18 10:21:26.324|OnDeck
684|4710765210229539731|2020-12-18 21:34:58.7|Discover
6597069766957|4710765210229539235|2020-12-19 01:29:19.835|Roofstock
8796093022409|4711328160182960419|2020-12-21 01:26:09.989|LightStream
363|4712454060089803230|2020-12-25 05:19:17.978|Fundbox
6597069767178|4712735535066514112|2020-12-25 12:46:21.703|Kabbage
6597069766839|4712735535066513677|2020-12-25 23:13:24.062|Navy Federal Credit Union
8796093022693|4713017010043224709|2020-12-26 14:59:59.186|Upgrade
6597069767450|4714142909950067754|2020-12-30 19:05:11.685|Navy Federal Credit Union
580|4714142909950067477|2020-12-30 22:58:37.558|Fundrise
2199023255560|4715268809856909330|2021-01-04 01:18:04.245|American Express
6597069767446|4717520609670595621|2021-01-11 11:53:47.173|Peerform
6597069767360|4717520609670595498|2021-01-12 02:38:19.366|Fundbox
4398046511504|4718365034600727057|2021-01-14 10:09:27.391|Wells Fargo
6597069766679|4718365034600726567|2021-01-14 13:46:15.773|Capital One
10995116278183|4718646509577437751|2021-01-15 19:25:18.665|PNC Bank
6597069767043|4720335359437701636|2021-01-21 17:53:52.503|Prosper
4398046511116|4721179784367833109|2021-01-24 19:12:08.259|LightStream
4398046511274|4721461259344543994|2021-01-25 17:51:51.638|Marcus by Goldman Sachs
2199023256212|4721461259344544632|2021-01-25 23:04:36.715|TD Bank
2199023255955|4722305684274676248|2021-01-28 20:45:01.673|LightStream
8796093022214|4723713059158229004|2021-02-03 05:35:12.057|State Farm Bank
8796093022479|4723994534134940037|2021-02-03 11:40:16.269|Bank of America
8796093022409|4723994534134939940|2021-02-04 06:23:53.752|Upstart
51|4724276009111650383|2021-02-05 05:55:59.115|SoFi
2199023255607|4724557484088361048|2021-02-06 06:10:46.056|RealtyMogul
6597069767083|4725120434041782850|2021-02-07 21:18:17.575|Kabbage
4398046511672|4725683383995204353|2021-02-09 20:15:13.486|Roofstock
648|4727090758878757734|2021-02-14 09:27:57.504|Marcus by Goldman Sachs
642|4727372233855468382|2021-02-16 08:57:46.422|Capital One
8796093022643|4729342558692442706|2021-02-22 18:36:25.032|Kabbage
6597069767315|4729624033669153653|2021-02-23 16:35:43.85|Citibank
6597069767060|4730186983622574618|2021-02-25 15:55:19.639|Bank of America
4398046511588|4731312883529417347|2021-03-02 00:29:03.526|American Express
10995116278510|4731875833482839015|2021-03-03 16:18:41.25|Discover
743|4733283208366392279|2021-03-08 15:59:37.086|BlueVine
2199023256133|4733283208366392088|2021-03-08 21:49:26.414|OnDeck
433|4733846158319813199|2021-03-10 11:52:37.662|OneMain Financial
755|4733846158319813619|2021-03-10 18:22:55.979|Funding Circle
6597069766722|4734690583249944680|2021-03-13 18:36:07.829|State Farm Bank
6597069767142|4735253533203366537|2021-03-15 15:19:14.338|US Bank
4398046511622|4736097958133498558|2021-03-18 14:35:11.056|Earnest
632|4737223858040341334|2021-03-23 09:33:01.603|Bank of America
10995116278421|4737505333017052027|2021-03-24 08:22:50.216|OneMain Financial
2199023255836|4737786807993762195|2021-03-25 07:46:46.996|Best Egg
8796093022774|4738068282970473216|2021-03-25 17:48:38.454|Wells Fargo
10995116278547|4738349757947184157|2021-03-26 13:50:38.634|Best Egg
4398046511588|4738349757947183746|2021-03-26 21:30:41.855|Roofstock
2199023256262|4738631232923894711|2021-03-28 02:49:23.581|PNC Bank
4398046511519|4738912707900604972|2021-03-28 18:41:39.089|Navy Federal Credit Union
4398046511672|4738912707900605186|2021-03-29 05:01:55.842|US Bank
10995116278277|4739194182877315770|2021-03-29 14:07:41.41|Peerform
8796093022778|4741164507714290438|2021-04-06 00:25:56.676|Earnest
2199023256011|4741445982691000944|2021-04-06 14:53:56.568|Wells Fargo
2199023256249|4742008932644422564|2021-04-09 01:08:17.748|Marcus by Goldman Sachs
2199023256128|4742290407621133072|2021-04-10 01:20:47.436|State Farm Bank
4398046511816|4742853357574554555|2021-04-11 19:01:54.223|Marcus by Goldman Sachs
6597069766895|4743134832551264590|2021-04-13 08:07:47.915|Kabbage
755|4743416307527975921|2021-04-13 20:44:18.414|Marcus by Goldman Sachs
2199023255700|4743697782504685785|2021-04-15 08:08:54.422|Navy Federal Credit Union
10995116278421|4745105157388239740|2021-04-20 04:56:30.505|RealtyMogul
580|4746512532271792918|2021-04-25 04:10:55.083|Patch of Land
10995116278547|4746794007248503835|2021-04-25 17:02:08.932|Capital One
13194139533907|4747638432178635565|2021-04-28 10:55:23.316|Avant
13194139533542|4747638432178635076|2021-04-29 07:18:17.769|Funding Circle
8796093022416|4748764332085477674|2021-05-03 05:11:39.133|LightStream
8796093022538|4749045807062188469|2021-05-03 22:21:47.278|Upstart
2199023255589|4749608757015609405|2021-05-05 13:17:38.127|Fundbox
4|4750453181945741316|2021-05-08 13:27:25.273|TD Bank
10995116278272|4751016131899163317|2021-05-10 22:51:29.652|Chase Bank
10995116277974|4752142031806005553|2021-05-15 02:58:44.538|Rocket Loans
107|4752704981759426721|2021-05-16 12:51:44.951|Chase Bank
4398046511111|4753267931712847888|2021-05-18 15:03:12.782|SunTrust
10995116278549|4753267931712848930|2021-05-18 20:00:04.982|LightStream
769|4753549406689559561|2021-05-19 16:09:23.203|Kabbage
13194139533696|4753549406689559038|2021-05-20 10:39:39.272|Upstart
6597069766911|4754112356642980207|2021-05-22 10:34:39.946|Marcus by Goldman Sachs
6597069766679|4754393831619690533|2021-05-22 15:26:40.623|SoFi
2199023256343|4754675306596402214|2021-05-24 10:01:56.84|TD Bank
2199023256252|4754956781573112743|2021-05-25 07:01:31.892|Chase Bank
6597069767083|4755238256549823041|2021-05-25 15:36:04.958|OnDeck
2199023256212|4755238256549823354|2021-05-25 23:03:37.452|Capital One
