fromId|toId|createTime|relation
107|467|2020-08-28 18:47:36.802|parents
4398046511208|420|2020-09-05 21:05:08.283|other relatives
6597069766679|743|2020-10-20 19:55:19.181|other relatives
6597069766687|2199023255844|2020-11-11 11:03:23.377|business associate
2199023255607|6597069766775|2020-12-21 11:55:43.704|business associate
2199023255767|8796093022479|2021-01-06 02:51:03.994|friends
6597069766775|10995116278183|2021-02-01 13:10:06.937|business associate
4398046511316|8796093022479|2021-02-05 11:58:20.395|friends
2199023256309|8796093022820|2021-02-07 20:06:03.071|parents
8796093022236|4398046511407|2021-02-09 06:12:35.766|friends
4398046511111|2199023255805|2021-02-13 15:36:41.993|parents
4398046511308|10995116278005|2021-02-17 11:10:03.698|friends
363|2199023255846|2021-02-19 05:26:30.123|siblings
2199023255836|4398046511457|2021-02-26 19:59:52.762|parents
6597069766710|4398046511240|2021-02-28 04:57:18.54|siblings
44|8796093022546|2021-03-01 04:48:03.873|parents
2199023255900|185|2021-03-04 13:00:54.903|business associate
2199023256266|4398046511208|2021-03-17 13:59:25.567|friends
8796093022225|675|2021-03-22 08:01:30.909|parents
4398046511258|467|2021-04-10 11:58:18.562|siblings
4398046511816|4398046511226|2021-04-14 17:18:12.851|parents
8796093022896|8796093022236|2021-04-24 11:56:05.511|business associate
13194139533348|10995116278547|2021-05-15 20:48:30.885|parents
648|10995116278271|2021-05-23 09:44:01.844|friends
10995116278168|4398046511888|2021-05-26 21:03:10.098|parents
4398046511878|8796093022354|2021-06-12 16:39:23.759|business associate
6597069766775|10995116278540|2021-06-16 18:48:22.033|parents
4398046511588|4398046511722|2021-06-19 15:00:47.085|business associate
24|10995116277848|2021-07-06 15:31:29.376|parents
10995116277850|8796093022359|2021-07-23 23:58:35.424|parents
2199023256252|8796093022359|2021-08-02 01:41:29.305|parents
2199023256210|10995116277848|2021-08-14 22:26:48.386|siblings
10995116277884|15393162789580|2021-08-22 13:19:25.734|friends
15393162789617|10995116278290|2021-08-25 17:18:39.142|parents
15393162789064|4398046511457|2021-08-28 20:47:13.007|other relatives
13194139533549|4398046511733|2021-09-04 18:05:37.877|parents
2199023256266|41|2021-09-22 00:04:31.622|other relatives
8796093022236|13194139533594|2021-09-26 09:40:19.425|business associate
